Date,EEM,EFA,GLD,IWM,QQQ,SPY,TLT,VNQ
2018-01-04,0.1283315634402532,0.07632841908045428,0.10421688234381767,0.10898286217068953,0.10270812725565494,0.07238567268204131,0.1093513102425995,0.11956873768841424
2018-01-05,0.12833156344025318,0.07632560484631001,0.1010302207022191,0.10821495077765972,0.10314033472107688,0.07410397936795969,0.10927251301387479,0.11956873768841422
2018-01-08,0.12826124547440224,0.07654788655448723,0.10016516468025108,0.1093693790061695,0.10372829567830005,0.07505337493135508,0.10906246406437634,0.11956873768841422
2018-01-09,0.12826124547440224,0.07654788655448723,0.09010455200884042,0.11235203418953521,0.10363714128773516,0.07475908141616416,0.10862455924749828,0.1263891871759075
2018-01-10,0.127291716113331,0.0762031792538599,0.09010455200884042,0.1123924515185309,0.10333265194745467,0.07296908178665185,0.10811465947396254,0.1263891871759075
2018-01-11,0.1261271879044707,0.07536411885944204,0.09252216038690454,0.10616003230150223,0.103385905251457,0.0734999256870762,0.10862455924749828,0.12651344709292878
2018-01-12,0.12616780818671292,0.07526976621396597,0.09243272547367769,0.1056432755842005,0.10271102694474779,0.07442212360662608,0.10867106823305311,0.12758282103677665
2018-01-16,0.12600928753971774,0.07493474416193345,0.08960110369103289,0.09684390249749195,0.10329670314196653,0.07258700774806331,0.10828103796020885,0.1269725298502447
2018-01-17,0.12483980013257026,0.07655869285609468,0.09709118148249316,0.10195952464862852,0.1033896269316906,0.07400395286913108,0.10930534758340443,0.12643573061904775
2018-01-18,0.12689421451027763,0.07646949358790366,0.10221690712644527,0.09889093977941105,0.10371804714414631,0.07463021727881633,0.10527954403789921,0.12726729616300808
2018-01-19,0.12680567712101243,0.07760373712856362,0.101829551719505,0.1038464137658244,0.10280909367323245,0.07440991340169932,0.10495925495316913,0.1277823955052659
2018-01-22,0.12899379896273175,0.07788824928674941,0.10295191288610209,0.1036872319293561,0.10265359282788702,0.0742714763488552,0.10558685355436945,0.12870020458935627
2018-01-23,0.12963597752090275,0.07798382290742162,0.09991131803091184,0.10376853380555151,0.10250982169047139,0.07443339854967429,0.10914684261052299,0.1284548210617524
