Date,gross_return,turnover,transaction_cost,net_return,cumulative_return
2018-01-05,0.003916723526579591,0.0,0.0,0.003916723526579591,1.0039167235265796
2018-01-08,0.0012888905521481339,0.009156069044973833,9.156069044973834e-07,0.0012879749452436365,1.005209743113593
2018-01-09,-0.003117057149810331,0.005497378450361107,5.497378450361107e-07,-0.0031176068876553674,1.0020758942949237
2018-01-10,-0.0023094744609708858,0.025934615761796856,2.5934615761796855e-06,-0.0023120679225470653,0.9997590267637668
2018-01-11,0.006194829042245221,0.006203180525261157,6.203180525261157e-07,0.006194208724192695,1.0059517428494373
2018-01-12,0.005967623875669441,0.015463428425881776,1.5463428425881777e-06,0.005966077532826852,1.0119533289415592
2018-01-16,-0.002040022633989806,0.005075064596587409,5.075064596587408e-07,-0.0020405301404494646,1.0098884076731258
2018-01-17,0.005510761865768511,0.02088791120326089,2.088791120326089e-06,0.005508673074648185,1.015451552752874
2018-01-18,-0.003741040616558686,0.021756582720772952,2.175658272077295e-06,-0.0037432162748307633,1.0116504979743073
2018-01-19,0.00490719942001517,0.018147125768616018,1.814712576861602e-06,0.004905384707438309,1.0166130328563427
2018-01-22,0.005886767236414591,0.013090742067660463,1.3090742067660463e-06,0.005885458162207825,1.022596266328374
2018-01-23,0.005159867803903801,0.0050532085859532755,5.053208585953276e-07,0.005159362483045205,1.0278722111401708
2018-01-24,-0.00012333751282273832,0.008747699768680034,8.747699768680035e-07,-0.00012421228279960633,1.0277445367863989
2018-01-25,-0.0006314859947122882,0.005036684009668821,5.036684009668822e-07,-0.0006319896631132551,1.0270950128628287
2018-01-26,0.0063247808078442155,0.006259854567399123,6.259854567399123e-07,0.006324154822387475,1.0335905207414753
2018-01-29,-0.008134421983207943,0.025196443023753595,2.5196443023753596e-06,-0.008136941627510318,1.0251802550074538
2018-01-30,-0.008368788796695776,0.019183599491177317,1.9183599491177317e-06,-0.008370707156644893,1.016598771310012
2018-01-31,0.0038393739525332143,0.031628127733525885,3.1628127733525886e-06,0.0038362111397598616,1.0204986588411775
2018-02-01,-0.005138355900993876,0.018255718638086102,1.8255718638086103e-06,-0.005140181472857684,1.015253110541926
2018-02-02,-0.017423986169266274,0.051660880644616866,5.166088064461687e-06,-0.017429152257330736,0.9975581094985622
2018-02-05,-0.02939861371656826,0.10763382176240882,1.0763382176240883e-05,-0.029409377098744503,0.9682205468784083
2018-02-06,0.010402011748834527,0.2640375156197059,2.640375156197059e-05,0.010375607997272556,0.9782664237277235
2018-02-07,-0.00864883106732261,0.04968935261524976,4.9689352615249765e-06,-0.008653800002584136,0.9698007017475406
