,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,average_turnover,final_cumulative_return
Equal Weight,0.09829485648587344,0.1367282523083175,0.7544390867456263,-0.27065496831508407,0.3631740333376888,0.0,2.8928095804133993
Inverse Realized Vol,0.09538003701406206,0.12202349354023168,0.8078714306435641,-0.2512556641406246,0.37961347992011457,0.03152655142908521,2.8070122644472493
Inverse EWMA Vol,0.09458883949126973,0.12181006406698981,0.8031214094746596,-0.25105258682063647,0.37676902950555274,0.034685474094895204,2.7841272877971397
Inverse RF Forecast Vol,0.09226760033668335,0.140124092293324,0.700345538037112,-0.2663958010096382,0.34635531035770756,0.036621780299671225,2.0857231565473344
