Date,gross_return,turnover,transaction_cost,net_return,cumulative_return
2015-01-06,-0.001955836743338421,0.0,0.0,-0.001955836743338421,0.9980441632566616
2015-01-07,0.009710576359656817,0.0,0.0,0.009710576359656817,1.0077357473142752
2015-01-08,0.008847166932209827,0.0,0.0,0.008847166932209827,1.0166513536943198
2015-01-09,-0.0012125728542231179,0.0,0.0,-0.0012125728542231179,1.015418589860621
2015-01-12,-0.0009526893849234053,0.0,0.0,-0.0009526893849234053,1.014451211348807
2015-01-13,0.0008374091291931812,0.0,0.0,0.0008374091291931812,1.0153007220543115
2015-01-14,-0.001107910396029116,0.0,0.0,-0.001107910396029116,1.0141758598292516
2015-01-15,0.001515900138199397,0.0,0.0,0.001515900138199397,1.0157132491553253
2015-01-16,0.009037156617478018,0.0,0.0,0.009037156617478018,1.0248924088663895
2015-01-20,0.0033175868164237593,0.0,0.0,0.0033175868164237593,1.0282925784102974
2015-01-21,0.0031561348696545616,0.0,0.0,0.0031561348696545616,1.031538008473225
2015-01-22,0.012268872517399623,0.0,0.0,0.012268872517399623,1.0441938167960354
2015-01-23,-0.001783961350488139,0.0,0.0,-0.001783961350488139,1.0423310153844525
2015-01-26,0.0025794097046622916,0.0,0.0,0.0025794097046622916,1.0450196141210057
2015-01-27,-0.004363133901780683,0.0,0.0,-0.004363133901780683,1.0404600536146087
2015-01-28,-0.007288522294718144,0.0,0.0,-0.007288522294718144,1.032876637317075
2015-01-29,0.002670067661411396,0.0,0.0,0.002670067661411396,1.0356344878246027
2015-01-30,-0.008200644372426763,0.0,0.0,-0.008200644372426763,1.0271416176901327
2015-02-02,0.005693067948886063,0.0,0.0,0.005693067948886063,1.0329892047127713
2015-02-03,0.00660569663528443,0.0,0.0,0.00660569663528443,1.0398128180266277
2015-02-04,-0.0025663961264123215,0.10073715482777718,1.0073715482777718e-05,-0.0025764698418950993,1.0371337716597662
2015-02-05,0.007155883023078152,0.02933823726451465,2.9338237264514652e-06,0.0071529491993517005,1.0445523368413805
2015-02-06,-0.014381346955433657,0.01290167814711346,1.290167814711346e-06,-0.014382637123248368,1.0295289196243498
2015-02-09,-0.0035960184587529604,0.06057534854162408,6.057534854162408e-06,-0.003602075993607123,1.0258204782182467
2015-02-10,0.0042868575784345934,0.023729398114221256,2.372939811422126e-06,0.004284484638623172,1.0302155902991579
2015-02-11,-0.0025490580515680258,0.012088007188816086,1.2088007188816087e-06,-0.0025502668522869075,1.0275882656285087
2015-02-12,0.010052217690723767,0.010271489996645344,1.0271489996645345e-06,0.010051190541724103,1.0379167510847807
2015-02-13,0.0031069094983052557,0.013923248466820096,1.3923248466820097e-06,0.003105517173458574,1.0411400193798948
2015-02-17,-0.0031439213529213168,0.00530353287254412,5.303532872544121e-07,-0.003144451706208571,1.0378662048695535
2015-02-18,0.00336894479097406,0.02548937020364883,2.548937020364883e-06,0.0033663958539536954,1.0413600733585848
2015-02-19,-0.0035793127420036095,0.013410714792285228,1.3410714792285229e-06,-0.003580653813482838,1.0376313234407046
2015-02-20,0.004825190541350695,0.0225288915018539,2.2528891501853904e-06,0.00482293765220051,1.0426357546196294
2015-02-23,0.0012040225107241812,0.013558799339241395,1.3558799339241396e-06,0.001202666630790257,1.0438896978497794
2015-02-24,0.002199549062170579,0.03308776494515139,3.3087764945151397e-06,0.002196240285676064,1.0461823304579994
2015-02-25,0.0004917753300272222,0.016918872742182317,1.6918872742182317e-06,0.000490083442753004,1.0466950470962575
2015-02-26,-0.0016546454156530894,0.01174832249330153,1.174832249330153e-06,-0.0016558202479024194,1.0449619082438963
2015-02-27,-0.0003259468950966005,0.09623313810748545,9.623313810748545e-06,-0.00033557020890734903,1.0446112501580467
2015-03-02,0.0019002286507865894,0.03993962664248786,3.993962664248787e-06,0.0018962346881223407,1.0465920782461993
2015-03-03,-0.004614224370585015,0.025960758983016294,2.5960758983016293e-06,-0.004616820446483316,1.0417601505402247
2015-03-04,-0.004477287204331447,0.053886252484345865,5.388625248434587e-06,-0.0044826758295798816,1.0370902774931787
2015-03-05,0.0010734126149893814,0.018066292925669983,1.8066292925669983e-06,0.0010716059856968143,1.0382016296422483
2015-03-06,-0.017290392576697507,0.048092280347178815,4.809228034717882e-06,-0.017295201804732225,1.0202457229435837
2015-03-09,0.0032144498295134907,0.04112135560642305,4.112135560642305e-06,0.0032103376939528485,1.0235210562450439
2015-03-10,-0.012042572786328892,0.034962048276911115,3.4962048276911115e-06,-0.012046068991156584,1.0111916509876147
2015-03-11,0.0024463729511717564,0.09863688062627696,9.863688062627696e-06,0.0024365092631091286,1.0136554288120245
2015-03-12,0.0010886179714198196,0.02283598660212531,2.283598660212531e-06,0.001086334372759607,1.0147565975464774
2015-03-13,0.005155978957257685,0.03448603623153568,3.448603623153568e-06,0.005152530353634531,1.0199851617168867
2015-03-16,0.006575409265972653,0.03288210084305673,3.2882100843056733e-06,0.006572121055888347,1.0266886276749
2015-03-17,0.0011805723828467183,0.027662771106427675,2.7662771106427674e-06,0.0011778061057360755,1.0278978678092654
2015-03-18,0.016079036661919566,0.010272900508977889,1.0272900508977889e-06,0.01607800937186867,1.0444244193612267
2015-03-19,-0.003929217989251407,0.048480659528096756,4.848065952809676e-06,-0.003934066055204217,1.0403155847057912
2015-03-20,0.011975246759806844,0.015070447152918248,1.507044715291825e-06,0.011973739715091553,1.0527720527386117
2015-03-23,0.0007152928941614569,0.02683205522449658,2.6832055224496584e-06,0.0007126096886390073,1.0535222683033216
2015-03-24,-0.0006853039314173535,0.007929216842945189,7.929216842945189e-07,-0.000686096853101648,1.0527994499903663
2015-03-25,-0.013976205460243004,0.005942835911121241,5.942835911121241e-07,-0.013976799743834116,1.0380846829074322
2015-03-26,-0.004416256128344806,0.08844877202903687,8.844877202903687e-06,-0.00442510100554771,1.0334910533332549
2015-03-27,0.0034379210271773555,0.011836737481906112,1.1836737481906113e-06,0.003436737353429165,1.0370428906406801
2015-03-30,0.006576087464898412,0.006335388061614447,6.335388061614447e-07,0.006575453926092251,1.0438619183874696
2015-03-31,-0.006060779963842181,0.01990044411601609,1.990044411601609e-06,-0.0060627700082537825,1.0375332236559116
2015-04-01,0.004862558957445321,0.021067676211070432,2.1067676211070434e-06,0.004860452189824214,1.0425761042848452
2015-04-02,0.0024254038690656797,0.022232137945012068,2.2232137945012068e-06,0.0024231806552711785,1.0451024545323961
2015-04-06,0.0070897199614726805,0.010050611266669451,1.0050611266669452e-06,0.007088714900346013,1.0525108878742282
2015-04-07,-0.0035170196554653076,0.006824081200545701,6.824081200545701e-07,-0.003517702063585362,1.048808468152007
2015-04-08,0.004570748896714743,0.06122022096737763,6.122022096737763e-06,0.004564626874618005,1.0535958874720606
2015-04-09,-0.002942485589255742,0.012841296965148283,1.2841296965148284e-06,-0.002943769718952257,1.0504943438025076
2015-04-10,0.004005545260782558,0.06679054752850398,6.6790547528503985e-06,0.003998866206029707,1.0546951301335648
2015-04-13,-0.0033165448502927852,0.016811359942645362,1.6811359942645362e-06,-0.0033182259862870496,1.051195413345145
2015-04-14,0.0016221449579254719,0.014063630760895118,1.406363076089512e-06,0.0016207385948493822,1.0528991263222822
2015-04-15,0.004115953635055557,0.024863602671828022,2.4863602671828024e-06,0.004113467274788374,1.0572301924220622
2015-04-16,-5.728874025425656e-05,0.014825248357872828,1.4825248357872828e-06,-5.877126509004384e-05,1.0571680576661622
2015-04-17,-0.008025232284168115,0.0034338283130396774,3.4338283130396777e-07,-0.00802557566699942,1.0486836754266275
2015-04-20,0.0027034581997956776,0.0627762399191126,6.27762399191126e-06,0.002697180575803766,1.0515121646661507
2015-04-21,0.0023650978799470415,0.03679690002527951,3.679690002527951e-06,0.0023614181899445134,1.0539952246187414
2015-04-22,-0.0003686935491943363,0.05577212899467665,5.5772128994676656e-06,-0.000374270762093804,1.05360074502278
2015-04-23,0.004400412453969141,0.02038191849872978,2.0381918498729778e-06,0.004398374262119268,1.0582348754222377
2015-04-24,0.00199572080632553,0.010619223546591353,1.0619223546591353e-06,0.0019946588839708707,1.0603456930178263
2015-04-27,0.0004182110086917453,0.08650110348765333,8.650110348765333e-06,0.0004095608983429799,1.060779969152413
2015-04-28,0.00044876560694545543,0.04778786242726954,4.778786242726954e-06,0.0004439868207027285,1.061250941478382
2015-04-29,-0.009953265549633541,0.004407267722004796,4.4072677220047956e-07,-0.009953706276405742,1.050687561321347
2015-04-30,-0.013121673414266682,0.04008911823909969,4.008911823909969e-06,-0.013125682326090592,1.0368965701674684
2015-05-01,0.005753252625189642,0.05634159344858597,5.634159344858598e-06,0.005747618465844783,1.042856256041334
2015-05-04,0.0015260246879555087,0.036549507842452464,3.6549507842452465e-06,0.0015223697371712635,1.0444438688457511
2015-05-05,-0.011223439559061948,0.014692794885110938,1.469279488511094e-06,-0.011224908838550459,1.0327200816309747
2015-05-06,-0.004454450951689062,0.036469088890238754,3.6469088890238755e-06,-0.004458097860578086,1.0281161144444797
2015-05-07,0.00376477540958568,0.016118942143541162,1.6118942143541163e-06,0.0037631635153713263,1.0319850834959226
2015-05-08,0.01183638546924621,0.04086174088866419,4.086174088866419e-06,0.011832299295157342,1.0441958398719844
2015-05-11,-0.008651511015277192,0.0566899006270733,5.66899006270733e-06,-0.008657180005339899,1.0351560485253855
2015-05-12,-5.1906690015890346e-05,0.03356676829780687,3.3566768297806875e-06,-5.526336684567103e-05,1.0350988423169332
2015-05-13,0.0015562845772743449,0.006819323894902904,6.819323894902905e-07,0.0015556026448848546,1.0367090448137586
2015-05-14,0.010658978683670807,0.015432141438744829,1.543214143874483e-06,0.010657435469526933,1.0477577045595363
2015-05-15,0.0049692000136390795,0.021174873383027315,2.1174873383027318e-06,0.004967082526300777,1.052962003545651
2015-05-18,-0.0012339391555770839,0.02647742126998892,2.647742126998892e-06,-0.0012365868977040827,1.0516599245282863
2015-05-19,-0.003435525082969296,0.026948000626174556,2.6948000626174557e-06,-0.0034382198830319134,1.0480440864655853
2015-05-20,0.0006158809807844609,0.025551978903426822,2.5551978903426823e-06,0.0006133257828941182,1.0486868789254244
2015-05-21,0.0018443598360469333,0.0060388878247684685,6.038887824768469e-07,0.0018437559472644564,1.0506204015952614
2015-05-22,-0.0017018958683848555,0.0169746043513989,1.69746043513989e-06,-0.0017035933288199953,1.0488305716879815
2015-05-26,-0.00973144817559953,0.007299896720318638,7.299896720318638e-07,-0.009732178165271561,1.0386231656991305
2015-05-27,0.007741608011395757,0.03291695391421398,3.291695391421398e-06,0.007738316316004336,1.0466603602884401
2015-05-28,-0.0027675900325102153,0.03754550912881677,3.754550912881677e-06,-0.002771344583423097,1.043759703768271
2015-05-29,-0.005805810065367196,0.012189560039126468,1.218956003912647e-06,-0.005807029021371109,1.037698560877151
2015-06-01,0.00045747867768928445,0.015009382340693878,1.5009382340693878e-06,0.00045597773945521504,1.0381717283211758
2015-06-02,-0.0007860436430657404,0.05686922928598365,5.686922928598365e-06,-0.0007917305659943387,1.0373497760311128
2015-06-03,-0.0013348473290242936,0.02132919970990957,2.132919970990957e-06,-0.0013369802489952847,1.0359628598692594
2015-06-04,-0.007130059699056661,0.018466512336485316,1.8466512336485317e-06,-0.007131906350290309,1.028574469770293
2015-06-05,-0.0040340283014911535,0.039630254924054795,3.9630254924054795e-06,-0.004037991326983559,1.024421094982204
