Date,EEM,EFA,GLD,IWM,QQQ,SPY,TLT,VNQ
2018-01-04,0.12273826876705635,0.07103316352790583,0.10601509494550704,0.10919588126201955,0.11035612561223879,0.07195908152071331,0.09960781901076934,0.10411325680362124
2018-01-05,0.12251212280904632,0.0707113737256959,0.10587461910283709,0.10859121293881246,0.11139998470595674,0.07342195609179816,0.09875511384643207,0.10406048282562351
2018-01-08,0.12341022837511986,0.0709852104938955,0.1051495032282706,0.1102905709180487,0.11151649076795084,0.0747642756909137,0.0986613473699999,0.10357363295662657
2018-01-09,0.12330826405057643,0.07090035649058363,0.09809309073565599,0.10950096911763658,0.11161809996348776,0.07566596574536479,0.10290011367778336,0.10139414653799111
2018-01-10,0.12320533634667016,0.0712029725483295,0.09859398308891722,0.1095321026397153,0.11142311160883807,0.07325240188282685,0.10298175199621404,0.1083314295313775
2018-01-11,0.12343700631616922,0.07084928693466722,0.09719688171266627,0.10884341460732766,0.1131152697969695,0.07486506682219235,0.10290011367778336,0.10755768519053444
2018-01-12,0.12230729209468663,0.07401770357545173,0.10146383768334005,0.10938696911236498,0.11288288025020046,0.07634027471260399,0.10290011367778336,0.10946015615944008
2018-01-16,0.12308641881214229,0.07054607393335942,0.09819338767147644,0.11109173651135507,0.11363612716603987,0.07826505862936987,0.10237988056584964,0.1081206112071351
2018-01-17,0.12262258976372191,0.0737507102936172,0.10439810378001808,0.11105535741483946,0.11353282012798589,0.08129499935917012,0.10334150096427538,0.1132195794980094
2018-01-18,0.12267935496083016,0.07264960444844594,0.10526313385731861,0.11301778160319641,0.11300977372971284,0.07799099358398741,0.10339806098522676,0.11472909354311196
2018-01-19,0.12309310274644152,0.08278696413924441,0.10526313385731861,0.11450312184704484,0.11217471986989834,0.0762880576253244,0.1033108456103548,0.12420830873182663
2018-01-22,0.12558452424987313,0.08594306781083888,0.1047710560611596,0.11232693192778177,0.11269588751601142,0.07940981418097906,0.10324065816793204,0.12471786123862233
2018-01-23,0.12545947108979416,0.08652615091290071,0.10508699611180398,0.11210016828192139,0.11251529975261304,0.08000732365617211,0.09983464981763902,0.11087772114354898
2018-01-24,0.12574303238881035,0.08554806416279918,0.10653222100203806,0.11426995905786753,0.11351315912536343,0.07963751587191256,0.10288786575149268,0.11065512418188908
2018-01-25,0.12544237851253412,0.08736973052004929,0.10615478039565707,0.11357648217943508,0.11321793704115964,0.07991939010312936,0.10311610374322179,0.10965026479412504
2018-01-26,0.12342345424810741,0.08787085388555882,0.10618229254004552,0.11334171553689715,0.113969699216016,0.08895823754209492,0.10311610374322179,0.10944832825569974
2018-01-29,0.13404040936774317,0.08893574360803744,0.1064551418024921,0.11441052224119269,0.11474244843345568,0.09317067071152922,0.10328370075437775,0.11190483629048906
2018-01-30,0.12999980543060607,0.08637574425657307,0.10637441398415184,0.11408693450427164,0.10993537016202003,0.09157315933278727,0.10401125240391136,0.12368625408729614
2018-01-31,0.13585085527935173,0.08425043128063128,0.10604995184315838,0.11512249499291846,0.11006126748198101,0.09020543766859712,0.10144521938271751,0.11338792342342481
2018-02-01,0.15138023292157768,0.08334014452175363,0.10622448845485685,0.11390146867709479,0.11230697564812249,0.08963147701331273,0.11290294317693028,0.11818630915411839
2018-02-02,0.16952118325323487,0.07729999126788681,0.10320367978305231,0.11401575067628995,0.11742574672705232,0.10285626798832015,0.13355321369221249,0.11731848759993667
2018-02-05,0.19250176758697188,0.13288624068414964,0.10815524186489682,0.1342090712699688,0.10505823822578486,0.1321004962943209,0.12392348370842292,0.18563948564462746
2018-02-06,0.173358598250708,0.09441633948818139,0.10716522675174713,0.09638649636401514,0.10822291224649559,0.09864174002932367,0.1256170320275359,0.15957451461078034
2018-02-07,0.19715918538888963,0.08977485911021059,0.10706856321750038,0.09660669873969088,0.14946476317808582,0.09707650172760866,0.12712734607642226,0.16231937660639098
2018-02-08,0.21327184427786464,0.11038259119328657,0.10706856321750038,0.2093893470677483,0.22277330328547815,0.11200802774098341,0.12687916116351372,0.22260121424534973
2018-02-09,0.19983614377365552,0.09193517272393584,0.10673117983412524,0.1987456251066655,0.19881185396055515,0.08747419288145573,0.12599720403127218,0.1908569639029724
2018-02-12,0.19522555902059557,0.08488847327798218,0.10673117983412524,0.20003038140634197,0.1657652247281659,0.08602112437013788,0.1264635419969584,0.1888309048876641
2018-02-13,0.19985453836995284,0.08506978847869787,0.10744550235166585,0.19823530780104615,0.16810047534875874,0.08639967699470194,0.11958462964692713,0.1891961092018093
2018-02-14,0.17976534106591024,0.08432531647235056,0.1143006893139845,0.1567387709201607,0.1607619041454905,0.0877629121000143,0.12790906721340764,0.19031766387103616
2018-02-15,0.17918263135887164,0.085600779158316,0.11532334906930912,0.1717182376433205,0.1552852420107283,0.09986257473730921,0.13343250850976202,0.18655272887658156
2018-02-16,0.17930214165960476,0.0891994961978731,0.1137864120367227,0.16186999513580083,0.15940486049029481,0.099723383417872,0.12185367714680607,0.18209768461469372
2018-02-20,0.18433642112674725,0.08597254974383674,0.10998240990362554,0.18909491019397728,0.15960181709176594,0.09790584343410126,0.11908580838956537,0.1837093078172789
2018-02-21,0.19624482875887356,0.08583748366086484,0.10681858576053938,0.18302521675938027,0.160470947212674,0.09610733519605329,0.12844831986791352,0.18965721396315477
2018-02-22,0.19963355961140528,0.08644078248567805,0.10738175411485329,0.18251816697995613,0.16190943183393317,0.09577019265155712,0.12837772866576885,0.1896037224683517
2018-02-23,0.18458409768429945,0.08644078248567805,0.10709852674168648,0.15435720849834147,0.15195318640097757,0.09999868423686735,0.13248893682061305,0.1846039930921843
2018-02-26,0.18002853360835924,0.1250046227339766,0.10658830912262865,0.14976750430145452,0.15067758573146525,0.11051621689510215,0.13313390233538344,0.18529490220475456
2018-02-27,0.20527674974050888,0.16611783010650258,0.10681057760539979,0.1904756060081382,0.16092115014180514,0.18011527528023247,0.13029973865859856,0.18648454629814043
2018-02-28,0.20482723042551906,0.1862019644861071,0.10680423916822644,0.20295982165497295,0.16106517290996655,0.18922571929816104,0.12705461002067112,0.1814956619708245
2018-03-01,0.19887559413538175,0.20274422345033463,0.10686923612665933,0.19880880384275687,0.16462316782406375,0.19059302829758074,0.1308129028434747,0.18021946129314936
2018-03-02,0.2031488075908606,0.19962047486293039,0.1067498025687106,0.16667574884122627,0.1612369055501349,0.19104568824647533,0.13248214596860178,0.18350177034791795
2018-03-05,0.19893947510106522,0.1979639645671983,0.10654370170333209,0.1636843367562839,0.1557399604327493,0.1592538150862159,0.12554226468574745,0.18180041527478202
2018-03-06,0.1786794650763369,0.16017124511294728,0.10714313416098303,0.158432092134809,0.1504947451117692,0.14429792394088778,0.11742759252326002,0.1675054655464284
2018-03-07,0.1763653323412643,0.16206490558080447,0.10599902108799877,0.15901558166877264,0.15069015868247232,0.14557528480988524,0.11021375511914061,0.15314592088169612
2018-03-08,0.17988292405828457,0.16687177552016982,0.10576100634775926,0.1588086052645139,0.1487066143092549,0.14324213589912999,0.11021375511914061,0.15148834351938686
2018-03-09,0.17730506787793754,0.16174593298307968,0.1057938576899326,0.15881860976513656,0.1497361410229016,0.14413516793934375,0.1128369806526761,0.15037227999906164
2018-03-12,0.17584880707305817,0.16059813075918902,0.11044308077144137,0.1583117245980838,0.14917361297932083,0.14319538183923122,0.11286793534317242,0.14716476331356446
2018-03-13,0.17792729979292915,0.1611903816640219,0.11090853970994445,0.15791869550972354,0.15069164828568346,0.14271120375168503,0.11329162104946792,0.1484002752419982
2018-03-14,0.1773840443056162,0.16179626305996384,0.11106039352393234,0.1572294319278959,0.15026631577707028,0.14487730829775272,0.11825109414384397,0.1484002752419982
2018-03-15,0.17812137744670065,0.1618550939875439,0.11041657451863263,0.15769907650302858,0.15015970936074308,0.14405553539859614,0.1167530704692222,0.14895416798712657
2018-03-16,0.17706603895725898,0.16312995331361224,0.09979586774859578,0.15733827384943427,0.146957743855324,0.14479501261870603,0.11648994985180634,0.1479196430029245
2018-03-19,0.18330629820993452,0.16322260816640213,0.09747639098582071,0.15893139775660553,0.1529172021689925,0.15736130324664976,0.11355944089431609,0.14943599375526964
2018-03-20,0.18060754216180666,0.16427500086446642,0.10118552103701516,0.15845834357587862,0.14962198897115198,0.15675763299027928,0.11277122628138776,0.15263781899955675
2018-03-21,0.1776225081703994,0.1610945242268285,0.10180544691266173,0.15756227335614034,0.15168359752199914,0.15261176927173414,0.11007052606827271,0.15176026093145603
2018-03-22,0.18612143568682074,0.15744433357479484,0.10134143084492832,0.16107797757488476,0.17636787287582434,0.16688045570761229,0.10734812525304507,0.15892544449227441
2018-03-23,0.2102054020984412,0.18238124205689293,0.11371841778837512,0.17663679922958322,0.2153658954978102,0.22096513198467962,0.10499628886928117,0.16405379825661806
2018-03-26,0.18919247841226827,0.19666805082628624,0.11689439176274982,0.16330617424536198,0.1671124670749712,0.18087792832632263,0.10566641360854398,0.15777890863493374
2018-03-27,0.2076577650706035,0.20042087174769221,0.11660856534409061,0.17810831933556365,0.21296231391804807,0.20468832892691274,0.11455846080845547,0.15778968832838672
2018-03-28,0.19612579906492997,0.19465980209936024,0.12258943484102225,0.16814292069177506,0.21406853716721233,0.20197501225342215,0.1145584608084555,0.15461007820621428
2018-03-29,0.1799249048951308,0.19513128982182423,0.12161872294255353,0.15389435727541265,0.20465549305383074,0.17454542285258032,0.11402772235549667,0.1518780500420333
